date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-01-01,2019,1,1,chokepoint6,Strait of Hormuz,7,8,2,3,35,20,55,148256,150913,12958,2898,2919371,315026,3234398,12424
2019-01-02,2019,1,2,chokepoint6,Strait of Hormuz,9,11,0,3,42,23,65,344824,423823,0,2013,962946,770662,1733609,12425
2019-01-03,2019,1,3,chokepoint6,Strait of Hormuz,10,11,4,0,50,25,75,429992,324767,3891,0,3180381,758651,3939032,12426
2019-01-04,2019,1,4,chokepoint6,Strait of Hormuz,9,12,2,2,41,25,66,400893,249042,22708,8512,857947,681157,1539105,12427
2019-01-05,2019,1,5,chokepoint6,Strait of Hormuz,11,13,4,1,33,29,62,375159,799110,5393,0,1594983,1179663,2774647,12428
2019-01-06,2019,1,6,chokepoint6,Strait of Hormuz,5,16,2,1,35,24,59,151038,325426,5862,3432,2187656,485759,2673415,12429
2019-01-07,2019,1,7,chokepoint6,Strait of Hormuz,11,7,4,1,56,23,79,353733,174460,12938,2281,2160933,543414,2704348,12430
2019-01-08,2019,1,8,chokepoint6,Strait of Hormuz,8,10,5,1,31,24,55,308184,382677,32806,0,640019,723668,1363687,12431
2019-01-09,2019,1,9,chokepoint6,Strait of Hormuz,8,9,4,2,25,23,48,258749,362366,11944,0,1919488,633061,2552550,12433
2019-01-10,2019,1,10,chokepoint6,Strait of Hormuz,9,12,5,3,39,29,68,301640,439933,25189,14983,417519,781747,1199267,12438
2019-01-11,2019,1,11,chokepoint6,Strait of Hormuz,9,11,2,2,42,24,66,384570,268700,2152,14924,962916,670348,1633265,12444
2019-01-12,2019,1,12,chokepoint6,Strait of Hormuz,6,10,7,0,39,23,62,242991,141530,49018,0,831713,433540,1265254,12448
2019-01-13,2019,1,13,chokepoint6,Strait of Hormuz,7,13,1,1,26,22,48,318089,320470,2152,0,2106055,640712,2746768,12452
2019-01-14,2019,1,14,chokepoint6,Strait of Hormuz,9,6,4,5,31,24,55,293647,165830,8222,4518,1939968,472218,2412187,12456
2019-01-15,2019,1,15,chokepoint6,Strait of Hormuz,13,7,3,3,30,26,56,584020,102796,23098,14580,969215,724496,1693712,12460
2019-01-16,2019,1,16,chokepoint6,Strait of Hormuz,9,17,7,1,40,34,74,327679,507043,26096,0,2576373,860820,3437194,12464
2019-01-17,2019,1,17,chokepoint6,Strait of Hormuz,6,9,1,0,39,16,55,264366,373163,3518,0,2027189,641048,2668237,12468
2019-01-18,2019,1,18,chokepoint6,Strait of Hormuz,10,8,1,1,38,20,58,339161,285720,1156,0,2197074,626039,2823113,12472
2019-01-19,2019,1,19,chokepoint6,Strait of Hormuz,6,7,4,4,34,21,55,259176,149061,15137,3322,1292026,426697,1718723,12476
2019-01-20,2019,1,20,chokepoint6,Strait of Hormuz,10,11,4,2,47,27,74,336614,628132,35572,3476,1437583,1003795,2441378,12487
2019-01-21,2019,1,21,chokepoint6,Strait of Hormuz,6,9,6,3,38,24,62,212065,254002,60033,10908,325037,537009,862046,12490
2019-01-22,2019,1,22,chokepoint6,Strait of Hormuz,7,12,3,3,38,25,63,237130,564697,5567,5838,1478399,813234,2291634,12494
2019-01-23,2019,1,23,chokepoint6,Strait of Hormuz,6,11,0,1,44,18,62,195711,121846,0,0,2215859,317557,2533417,12498
2019-01-24,2019,1,24,chokepoint6,Strait of Hormuz,7,7,2,0,34,16,50,152037,280009,17519,0,2704992,449565,3154558,12502
2019-01-25,2019,1,25,chokepoint6,Strait of Hormuz,9,7,4,0,34,20,54,315802,139446,33594,0,1779225,488844,2268070,12506
2019-01-26,2019,1,26,chokepoint6,Strait of Hormuz,11,11,4,2,50,28,78,478033,376903,26069,4009,2641480,885016,3526497,12510
2019-01-27,2019,1,27,chokepoint6,Strait of Hormuz,7,12,3,0,38,22,60,234772,481695,33566,0,2413819,750034,3163854,12514
2019-01-28,2019,1,28,chokepoint6,Strait of Hormuz,14,16,4,3,43,37,80,453508,585606,23678,9034,1598683,1071827,2670511,12518
2019-01-29,2019,1,29,chokepoint6,Strait of Hormuz,10,7,3,1,34,21,55,425234,389621,11055,0,2894444,825911,3720356,12522
2019-01-30,2019,1,30,chokepoint6,Strait of Hormuz,7,11,3,2,36,23,59,180999,293265,10040,292,774136,484597,1258733,12526
2019-01-31,2019,1,31,chokepoint6,Strait of Hormuz,7,10,6,2,32,25,57,298036,266574,21872,2013,2146040,588497,2734538,12542
2019-02-01,2019,2,1,chokepoint6,Strait of Hormuz,7,8,1,0,45,16,61,261638,191974,13991,0,2046802,467604,2514407,12546
2019-02-02,2019,2,2,chokepoint6,Strait of Hormuz,11,2,4,2,31,19,50,443561,33758,16182,6075,1624503,499578,2124081,12550
2019-02-03,2019,2,3,chokepoint6,Strait of Hormuz,7,9,5,2,37,23,60,324943,220143,45625,0,2338558,590711,2929270,12554
2019-02-04,2019,2,4,chokepoint6,Strait of Hormuz,7,10,2,0,37,19,56,288105,298984,0,0,1197256,587090,1784347,12558
2019-02-05,2019,2,5,chokepoint6,Strait of Hormuz,8,16,2,3,31,29,60,296364,210034,10516,7281,730727,524195,1254923,12562
2019-02-06,2019,2,6,chokepoint6,Strait of Hormuz,10,15,4,0,33,29,62,297531,411237,13129,0,989794,721897,1711692,12566
2019-02-07,2019,2,7,chokepoint6,Strait of Hormuz,7,11,2,5,36,25,61,206621,312644,8873,4219,984986,532358,1517345,12570
2019-02-08,2019,2,8,chokepoint6,Strait of Hormuz,10,10,3,0,41,23,64,316534,262408,3152,0,1397436,582095,1979531,12574
2019-02-09,2019,2,9,chokepoint6,Strait of Hormuz,5,9,4,0,43,18,61,192012,370352,37973,0,2145011,600338,2745349,12578
2019-02-10,2019,2,10,chokepoint6,Strait of Hormuz,8,10,5,0,45,23,68,377806,378709,49644,0,2367940,806160,3174101,12593
2019-02-11,2019,2,11,chokepoint6,Strait of Hormuz,7,6,2,2,27,17,44,214617,335262,0,0,1004195,549879,1554075,12597
2019-02-12,2019,2,12,chokepoint6,Strait of Hormuz,10,9,2,2,34,23,57,336877,249206,8425,8901,498458,603410,1101869,12601
2019-02-13,2019,2,13,chokepoint6,Strait of Hormuz,7,16,1,1,28,25,53,252226,708938,10900,0,719351,972064,1691416,12605
2019-02-14,2019,2,14,chokepoint6,Strait of Hormuz,11,13,6,2,38,32,70,491547,380515,3740,5499,1047941,881303,1929244,12609
2019-02-15,2019,2,15,chokepoint6,Strait of Hormuz,8,12,3,1,43,24,67,235017,271641,16647,0,1765270,523306,2288576,12613
2019-02-16,2019,2,16,chokepoint6,Strait of Hormuz,9,16,4,0,41,29,70,374786,555572,13627,0,1977761,943986,2921747,12617
2019-02-17,2019,2,17,chokepoint6,Strait of Hormuz,7,14,2,3,40,26,66,300327,365325,4178,7664,2048994,677496,2726491,12621
